continent,location,date,population,new_vaccinations,RollingPeopleVaccinated,Percent_Vaccinated
Asia,Afghanistan,2020-02-24,41128772,,,
Asia,Afghanistan,2020-02-25,41128772,,,
Asia,Afghanistan,2020-02-26,41128772,,,
Asia,Afghanistan,2020-02-27,41128772,,,
Asia,Afghanistan,2020-02-28,41128772,,,
Asia,Afghanistan,2020-02-29,41128772,,,
Asia,Afghanistan,2020-03-01,41128772,,,
Asia,Afghanistan,2020-03-02,41128772,,,
Asia,Afghanistan,2020-03-03,41128772,,,
Asia,Afghanistan,2020-03-04,41128772,,,
Asia,Afghanistan,2020-03-05,41128772,,,
Asia,Afghanistan,2020-03-06,41128772,,,
Asia,Afghanistan,2020-03-07,41128772,,,
Asia,Afghanistan,2020-03-08,41128772,,,
Asia,Afghanistan,2020-03-09,41128772,,,
Asia,Afghanistan,2020-03-10,41128772,,,
Asia,Afghanistan,2020-03-11,41128772,,,
Asia,Afghanistan,2020-03-12,41128772,,,
Asia,Afghanistan,2020-03-13,41128772,,,
Asia,Afghanistan,2020-03-14,41128772,,,
Asia,Afghanistan,2020-03-15,41128772,,,
Asia,Afghanistan,2020-03-16,41128772,,,
Asia,Afghanistan,2020-03-17,41128772,,,
Asia,Afghanistan,2020-03-18,41128772,,,
Asia,Afghanistan,2020-03-19,41128772,,,
Asia,Afghanistan,2020-03-20,41128772,,,
Asia,Afghanistan,2020-03-21,41128772,,,
Asia,Afghanistan,2020-03-22,41128772,,,
Asia,Afghanistan,2020-03-23,41128772,,,
Asia,Afghanistan,2020-03-24,41128772,,,
Asia,Afghanistan,2020-03-25,41128772,,,
Asia,Afghanistan,2020-03-26,41128772,,,
Asia,Afghanistan,2020-03-27,41128772,,,
Asia,Afghanistan,2020-03-28,41128772,,,
Asia,Afghanistan,2020-03-29,41128772,,,
Asia,Afghanistan,2020-03-30,41128772,,,
Asia,Afghanistan,2020-03-31,41128772,,,
Asia,Afghanistan,2020-04-01,41128772,,,
Asia,Afghanistan,2020-04-02,41128772,,,
Asia,Afghanistan,2020-04-03,41128772,,,
Asia,Afghanistan,2020-04-04,41128772,,,
